topic_id,size,auto_name,top_words,rq_tags,representative_doc_1,representative_doc_2,manual_label
0,168054,0_useful_helpful_ads_amazing,"useful, helpful, ads, amazing, read, bless, easy, excellent, daily, add",RQ6,Review Update: July 9th 2020 update fixed all the problems I had highlighted in my review previously. I edited my rating and gave it 5 stars out of 5. Thank you very much for such a wonderful app. ------------------------------------------------------------------ It was working flawlessly before Jul,Brilliant app..BUT...... the new feature of the article or news headline is a COMPLETE DISTRACTION unfortunately!!!!. when i use this app i want to come away from all the distractions but it's right at the top of the page too so cant cant help but see it! PLEASE FOR ALLAHS SWT SAKE PUT IT FURTHER DO,MIXED - generic praise
-1,62745,-1_useful_bless_helpful_easy,"useful, bless, helpful, easy, work, help, add, reward, ads, need",RQ6,"I would like to see more help aimed towards beginners with respect to prayers. For example the number of ruku for asr prayer to remind people that all 4 ruku are to be done silently and fajr 2 out loud I think... I know Islam existed long before America, Christianity, and other religions except for ","I understand your concern about financial support. However, as Muslims you need to make sure that you are not spreading something inappropriate, something vulgar, something shameful, something that can lead Muslims to get into sins. And if you read Quran carefully you would understand how dangerous ",OUTLIERS
1,7154,1_azaan_notification_sound_hear,"azaan, notification, sound, hear, working, voice, add, doesn, fix, phone",RQ6,"I have not opened the application, but I still gave it 5 stars without thinking, and without reading more of it..??!!.., I don't get when you ask to..""rate this application"".., so as I open the application, that's when i can give you a detailed and better review.., also do agree with person that's g","I really love this app...however, 2 weeks after I installed the a started having problems. Whenever I open the app, it just closes down. Even after uninstalling and reinstalling the problem persists. Throughout that time the azan notifs and daily reminders were working great. But, from yesterday nei",Adhan fails to play
2,4247,2_open_update_working_crashing,"open, update, working, crashing, fix, phone, keeps, problem, opening, work",RQ5,"Assalamu Alaikum After the recent update 2 days ago, the application crashes as soon as it is launched on my phone Reno 7 pro, ColorOS 12.1 and Android 7. I tried clearing up data couple of times and every time after clearing up data, it launches fine and once I have logged in and it has setup locat","Usually I have no problem with the app but since yesterday I am unable to access my profile area of the app, the app just closes when I tap on the profile button. I'm guessing for the second time I've lost my streak because of this and I managed to reach day 50 without a problem. Edit: updating the ",App crashes after update
3,3655,3_premium_subscription_paid_version,"premium, subscription, paid, version, premium version, restore, account, purchase, pay, error",RQ6,"You (app support team) simply don't listen, everyone is complaining about issues in version 9.4 but you keep your ego and arrogance, Premium is gone for me as well as many others, restoring doesn't work it says already in use *while it is not*, overtime you destroyed an app that was once beautiful, ",I am highly disappointed by the app as though I have premium account I always have to restore my premium settings Almost after every update. From last couple of months raised an error in restoring my premium account with support via email and the response was so helpful that I no longer want to use,Subscription and restore purchase problem
4,2716,4_helpful_useful_useful useful_educative,"helpful, useful, useful useful, educative, informative, helpful helpful, helpful useful, useful helpful, learn, usefull",,I thought at first it was very helpful to me so that I could make salat on time but every time you try to use it to learn or even communicate with umma you are constantly interrupted by ads. Even while learning duas of The Seal (S.A.W.),"Through which people learn ideas and skills, Is necessary to enable them to interact with other people in the society properly,tell truth help other's and so on.",Praise for educational content
5,2648,5_ads_ads ads_annoying_ad,"ads, ads ads, annoying, ad, remove, ads annoying, annoying ads, advertisement, inappropriate, remove ads",RQ6,"too many ads Edit — 28 Jul 2026 The developer replied blaming third-party ad networks. That's a deflection. The network decides WHICH ad appears. The developer decides WHERE, WHEN and HOW OFTEN ads appear. Placement, frequency and cooldowns are all set by the dev team. My complaint was about ad freq",Too many ads. Specially with music or interest based. My ad tracking is off so it's only what it does and not related to my trends. Cannot cancel the ads and have to wait long only to find that the cancel button is too small.,Intrusive and frequent ads
6,2507,6_date_calendar_hijri_calender,"date, calendar, hijri, calender, hijri date, dates, hijri calendar, today, showing, correct",,This is the first app I downloaded that actually works; all the previous ones were full of bugs (and free). I decided to pay for it and chose this one and I am glad I did. The reminders are on time and turn off when you want them to (in case you're in a meeting). You can choose which adhan to listen,"Application accuracy in Islamic months should be improved, every time we have to manually tune it, other Applications are showing right Islamic dates, this is the 3rd time I observed an error in Dates, hope it should be fixed as it's important else no use of it. Thanks for the response, as mentioned",Incorrect Hijri calendar dates
7,2208,7_timing_accurate_timings_correct,"timing, accurate, timings, correct, wrong, accurate timing, hour, asr, showing, location",RQ2,Instagram is very very interesting and very helpful for people to understand the question about this kind in your own body language or in the way of the game and the way it takes to work and how 9 to be able to make it work in your own right way as you do in 3rd place business 3AM 9and I 3am a new Y,"The features are really great. The design is really eye-catching. But, what the main use of this app the time is not accurate. I missed my suhoor only because I followed the time on the app. Firstly I thought It was becuase of my location settings. But even though I turned ""GPS"" the time was inaccur",Inaccurate prayer times
8,1814,8_location_gps_manually_city,"location, gps, manually, city, detect, automatically, auto, locate, change, detect location",,"The bug which most of the guys are taking about ( that the location changes when u close and reopen ) it happens if you have deactivated GPS on fone and in setitings → location services you have three check boxes....( this is for samsung galaxy s3, i dont if other samsung phones have this ) check al","Dawateislami team prompt reply my email, now I can use app easily. After update first time app search auto location then we can save manual. This was my previous review: ""I using this app since many years, excellent apps but After last update location features, very much bad experience. I don't unde",GPS and auto-location detection failures
9,1771,9_direction_working_direction working_qiblat,"direction, working, direction working, qiblat, qiblah, wrong, location, accurate, work, directions",RQ2,"I give 4 star because i am facing little bit problem with Qibla direction, one time on the same side i see Qibla in one direction and even standing on the same side when i just rotate my cell phone to opposite direction it gives me Qibla direction with different angle and its wrong position, so i am","I have to tell you that the qibla direction is not too good as previous version. You updated your aap it's good, but now please improve your qibla direction option too. It's not too useful to find exact qibla direction as previous version of your aap. So I hope you will fix it as soon as possible. O",Inaccurate Qibla direction
10,1297,10_widget_widgets_update_screen,"widget, widgets, update, screen, widget working, working, home screen, size, home, android",RQ5,"I loved this 5 star app before, it was by far the best out there but the recent Feb17 UI update has made this dificult to use now. The old one was much better with all the relevant icons one one screen and was the reason I paid for it in the first place. Now it looks like a social media site which i","I've been using your Pro Version for years, Alhamdulillah it is getting better all the time. But at some point i have to tell you that your team need to refresh or redesign your widgets. All those widgets are still same shape and design for years. I will be very grateful if your team could make an u",Widget display and update issues
11,1222,11_loved_amazing_awesome_liked,"loved, amazing, awesome, liked, think, fantastic, cool, enjoying, excellent, enjoy",,I like it to much this is it wow I love it very much forever and ever very nice good to see you by and lots of love very nice good,It's great it's amazing it's beautiful it's fantastic it's exelent it's A+,Enthusiastic general praise
12,950,12_aap_aap aap_useful aap_aap useful,"aap, aap aap, useful aap, aap useful, helpful aap, aap helpful, amazing aap, aap easy, useful, aaps",,Its amazing aap i love it. Because of this aap i always remember my aim in this world.,from days I am searching for this aap finally I got it . wonderful and amazing aap,Generic praise (South Asian English)
13,816,13_version_update_new_old,"version, update, new, old, new update, better, old version, new version, previous, updates",,"Wow, just wow! Perfect timing for the update, I had my whole reading in progress and ticked where I finished each time. All gone! Great work!",I really wish to have the old setup before this new updated one. I'm just using it but not enjoying it as much as before the upgrade,Dissatisfaction with new update changes
