reviewId,app_name,score,at,content_clean,theme_code
80c97d8e-27d1-4541-a43d-c8e2fb2e5fa4,Athan: Prayer Times & Al Quran,2,2026-07-29 23:30:24,"I have used this app for years to keep track of prayer timings, and it's been straightforward and functional. However, in recent weeks, the sheer number and intrusiveness of the ads have made it a miserable experience. I wish only the best for the development team and pray that Allah rewards them for their work, but something has to be done ASAP to remove these terrible ads that frequently cover the entire home screen and provide only a tiny ""x"" to close them out (which often doesn't work).",Intrusive ad load
ad5c829e-1a14-4db5-bdbc-774904d8e028,Athan: Prayer Times & Al Quran,3,2026-07-10 04:00:46,"Great things on it, but... Negatives that need adressing: Most of the adverts are haram (gambling, credit cards etc). Also, even when you don't miss a day on your streak, yet gets to about 45 days then out of nowhere it clears (its happened to me a few times)- change this and would say best app out there ESPECIALLY for reverts like myself",Streak resets spontaneously
bd6a7f57-7184-4d86-be57-1b98a454b054,Athan: Prayer Times & Al Quran,1,2026-06-02 02:07:38,"Too many ads. I understand they expect to earn money, but when I open the app, ads pop up, and clicking them pops up more ads. It appears their main goal wasn't to create an Islamic app for public service. Instead, it seems they are primarily focused on generating revenue by irritating users and pushing them to purchase the pro version.",Intrusive ad load
24a95c91-61eb-44b8-896a-c0c6709d5bda,Athan: Prayer Times & Al Quran,2,2026-03-23 16:49:53,"The dhikr doesn't have English translations,but the duas do,which makes no sense.We should know what we are saying.I complained several times about no translation. it hasnt been fixed. If we haven't been using the app&decide to keep track& want to fill in for the past, we can't do it for more days than what is shown. If I read surah al khaf on Friday but want to add it after friday, I can't. If I had menses I can't put it in for the past. this has good potential, but its lacking important things",Backfill window too short
1ad4a598-94cb-492c-bbba-3162b762c85a,Athan: Prayer Times & Al Quran,4,2026-03-02 04:17:18,"I dislike that you now have to create an account to keep track of things (your salah, dhikr, etc.).",Forced account for tracking
0dbbb6b7-d755-48b0-af64-eccb94855c0b,Athan: Prayer Times & Al Quran,3,2025-11-02 21:40:31,Overall an easy and simple prayer tracking app. Just don't sync your Google calender as it has totally messed up and added hundreds of entries.,Calendar sync bug
59359c8c-7b51-44a5-b5b5-1adcce80e838,Athan: Prayer Times & Al Quran,1,2025-08-29 16:13:12,The new interface after the last few updates is really horrible. It was much much simpler and prayers logs were there easy to view and organized with the prayers. Whoever designed the last few major design updates really ruined the application till the point that I am considering to delete. The most important thing which gave this application it's edge for me was the prayer logs and now that has been kept in a way that is really not easy to track or view. Also there are haram 18+ ads of women.,Redesign broke prayer log
776a45f5-a7e6-47b5-b47f-fbeaec09dadd,Athan: Prayer Times & Al Quran,2,2025-07-07 12:02:07,"Great app for many years- even paid to have ads removed because I really liked it. The last update made it inconvenient & difficult to navigate. I cant see all prayer times unless I click""prayer times"" at the bottom.On the home screen it only shows a countdown until next prayer. If I want to log a previous prayer I have to expand the entire list &even worse,if I want to log a prayer from the previous day, I have to scroll way down to the option that says ""previous goals."" App is now hard to use!",Redesign broke prayer log
eeab01d7-598d-4fac-a548-8f151bcee1e8,Athan: Prayer Times & Al Quran,4,2025-07-05 00:15:04,whole reason I got the app is to be reminded during Salah times... why m I feeling judged by an app? log your excuses? seriously? I don't need to share my 3mal with anyone. otherwise the app works as intended,Tracker framing feels judgmental
a1c3587e-12f6-4ff6-8afe-3edd46bbcaed,Athan: Prayer Times & Al Quran,2,2025-06-13 15:11:41,Great App but unfortunately if you forgot to log and tick the Salah the Adhan doesn't sound.,Logging state suppresses adhan
59b45f69-674e-44ff-85cc-2ddd5fa33895,Athan: Prayer Times & Al Quran,2,2025-04-07 19:28:51,Prayer log and prayer time are in different places now. The app has become NOT user friendly.,Redesign broke prayer log
eab1b67d-cc57-4817-8695-c33135eb0f03,Athan: Prayer Times & Al Quran,1,2025-03-25 05:34:27,sadly this app often fails to give prayer notifications I have to open it to see if I missed a prayer only to see that I did and was late. For some of us who live in parts of the world without masjids to call for the prayers this is devastating we do not want to miss a prayer we rely on an app that keeps failing us. the other thing is the haram adds. every time I open the app I get bombarded with haram ads they ask for payment to get rid of the adds but why?isn't this for the sake of Allh?,Notification failure
5eafeb5c-2861-4cdc-9e74-6a9f8060711c,Athan: Prayer Times & Al Quran,1,2025-03-21 05:19:56,"can't view my prayer logs after the latest update, please fix this issue Edit: Prayer logs are back, but instead of logging in prayers for a week and being able to see previous logs of 3 weeks, users can only log in prayers for 3 days. I was originally going to suggest monthly logs but it's downgraded to 3 DAYS. Plus the ads are annoying, there are no ad controls since I got podcast ads with explicit images when reading The Qur'an. I disabled mobile data, though.",Backfill window too short
56c402e2-4376-4e64-9c16-c6a9ebd1b191,Athan: Prayer Times & Al Quran,3,2025-03-18 15:38:50,"It's a bit frustrating when the Athan stops playing at the slightest touch of the phone screen. Additionally, if the app misses its mark, such as when a prayer time is set to play out loud but all I get is a notification instead, there's no mechanism to play the Athan out loud. Is this something that can be fixed?",Adhan playback unreliable
828a18f9-c577-476f-94cf-edd8be7eeff1,Athan: Prayer Times & Al Quran,1,2025-03-14 17:37:50,"I didn't like the update, after the update prayers log is giving errors, it is not showing daily prayers, it is showing incorrect dates, my app is stuck on 12th march even though it is 14th march today also there are too many ads. At first i loved this app but now i started to hate it.",Post-update log errors
05d35707-b5a5-465b-9ee2-2528aaf6ba36,Athan: Prayer Times & Al Quran,4,2025-03-08 04:43:22,"There was a time I really loved it been using this app since 2023 but after updating the app I started having issues like I completed my 700 prayers and I still didnt unlocked the badge , I thought it's a network glitch or something at first but then when I tried again with a more stable network I was logged out automatically and when I logged back in boom all my information was gone I was reading Qur'an as well in this app but nothing was saved here it's like a fresh app all of a sudden",Tracker data lost
3633320d-cbc2-4c70-b9d6-763c0a84602f,Athan: Prayer Times & Al Quran,3,2025-03-04 12:24:32,"Update March 2025: Though this app helped me a lot to be punctual and review my last 7 days, the new update was not very user friendly. Should give options to choose if want simplified version like before or update to new goals/new version.",No opt-out of redesign
