reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
33dc902d-e10c-4a8b-bdbf-8f58818f24e2,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,perfect app,5,0,3.8.3,2026-08-18 06:29:42,,,3.8.3
b9c48657-4873-4f0c-be62-c89c4f61f0c7,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"The app is almost perfect in everything, except its purpose. I really admire the moon phases, the interface, and the variety of customization abilities. But it doesn't Adhan, it doesn't work in the background. What's the point!?",3,0,,2026-08-18 01:08:55,,,
abdd1fa0-ff25-4e62-9a09-c88318853a9f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Love this prayer app,5,0,3.8.3,2026-08-17 03:06:39,,,3.8.3
0092136a-6ef6-435d-a83d-2e8af6ce618c,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,perfect App,5,0,3.8.3,2026-08-16 21:54:06,,,3.8.3
73fcc84e-2856-4727-8004-ec4fa8ac9b9d,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"update: please forgive me if the mistake is on my part but on 2 different Pixel phones with same issue: unreliability. so what's the use of that? you can't be sure & depends on it. it doesn't always go off. I'm so disappointed as it was my favourite Finally, an excellent app. Tried so many, but all had issues of one kind or another. No ads, no fuss! with choice of silent, beep or adhan alerts + Notifications on time. what i really love is you can set a before reminder up to 60 minutes.",3,5,3.8.3,2026-08-15 22:55:04,,,3.8.3
8c9e1631-ae63-46da-95f6-c735ae075f3a,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Good aps,5,0,3.8.3,2026-08-15 07:15:38,,,3.8.3
3cb22eb4-7f6b-419f-a6cb-d0dc3b6b4e45,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"we need date format like this ""30 August (8) 2026"" ,in the widgets",3,0,3.8.3,2026-08-14 07:14:06,,,3.8.3
12fbd78a-cc08-462d-a61d-2e6040885da2,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,This app is not working properly anymore.,1,0,,2026-08-13 13:10:57,,,
20c56ccb-d7b1-458f-b442-4e171cd2a1d1,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Good working this app,5,0,3.8.3,2026-08-13 07:31:53,,,3.8.3
ab6f8c34-68f6-4e74-9c2d-0fa6f8fe7a90,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Alhamdulillah, this is the best Prayer app!",5,0,3.8.3,2026-08-13 02:44:10,,,3.8.3
a4878674-df6c-4038-a40a-6febdbc5062d,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Have been using this app for years now and it works wonderfully. Recently noticed that some notifications don't work on Android 16. It's strange because it's erratic but otherwise there is nothing to complain about,4,0,3.8.3,2026-08-12 20:38:03,,,3.8.3
bff05a73-a5df-4f26-8a7d-9446177f63b8,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,v.good app. FREE or 85.00 IRs. No advertise any.,5,0,3.8.3,2026-08-12 18:02:51,,,3.8.3
5e33931d-691f-4df3-971c-22670feebc77,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ma'a shaa Allah, superb.",5,0,3.8.3,2026-08-11 14:47:44,,,3.8.3
