topic_id,size,auto_name,top_words,rq_tags,representative_doc_1,representative_doc_2,manual_label,submodel,stability_ari
9,1446,9_simple_ads_big_read,"simple, ads, big, read, translation, easy, reading, features, help, useful",RQ5|RQ6,Mashallah. It's very and simple. App for using.,simple nice app for Muslim prayer,,rq5_bloat,0.452
-1,951,-1_simple_big_update_version,"simple, big, update, version, location, need, ads, add, qalbox, unnecessary",RQ5|RQ6,"Simple application, easy to use",This application is great and simple,,rq5_bloat,0.452
8,844,8_simple_widget_ads_direction,"simple, widget, ads, direction, big, confusing, accurate, update, date, need",RQ2|RQ5|RQ6,"Sorry to tell you this. I am disappointed with a long video duration ads and it's not easy to get out from the ads, I must wait and click ""a little"" hyperlink to close, and this ads has another hyperlink ""X"" to close. Everytime I open this app and ads will appear as well as to be. I don't know why t","Best prayer app, simple and easy to use...",,rq5_bloat,0.452
5,549,5_simple_easy_useful_simple easy,"simple, easy, useful, simple easy, big, features, simple simple, simple useful, easy simple, useful simple",RQ5,Very simple and good app,Its a great app .Simple to use,,rq5_bloat,0.452
0,547,0_simple_easy_simple easy_easy simple,"simple, easy, simple easy, easy simple, simple simple, accurate, useful, useful simple, simple accurate, accurate simple",RQ2|RQ5,Very simple and easy to use love it,Simple and easy to use,,rq5_bloat,0.452
1,383,1_ads_unnecessary_simple_ad,"ads, unnecessary, simple, ad, annoying, free, unnecessary ads, ads simple, premium, simple ads",RQ5|RQ6,Thank you!!! No ads + simple.,"Nice app, without unnecessary ads. I love it",,rq5_bloat,0.452
7,135,7_simple_volume_phone_sound,"simple, volume, phone, sound, hear, notification, set, beautiful, easy, silent",RQ5,This app is too much good to maintain or continue your spiritual activity with daily routine but that one issue/problem make it worse. It's too much frustrating when the Athan stops playing at the slightest touch of the phone screen or increasing the volume of phone it's such a disgusting issues and,"Great app with a simple flaw the ruins the whole experience. This app will be the best athan app if the athan itself is from fhe alarm volume not the media volume. Sometimes my media volume is off or low, then I wouldn't hear the athan, it's better to make the source audio from fhe alarm volume or a",,rq5_bloat,0.452
6,123,6_azaan_sound_slow_volume,"azaan, sound, slow, volume, simple, problem, add, notification, fix, phone",RQ5|RQ6,"Good app but with one big issue. I primarily use this app for Azaan as there is no nearby masjid. The Azaan stops abruptly whenever a message is received during the Azaan. Please fix it. Example: YouTube decreases the volume of the currently playing video whenever a notification is received, can you",I find this app very useful since I live in a neighbourhood where I can't hear Azaan. The best part is you can select the salaats for which you want to hear the Azaan. That way I will never miss my Fajr salaat and at the same time I don't need to bother about the Azaan call at work. A big thanks to ,,rq5_bloat,0.452
4,121,4_slow_phone_fix_open,"slow, phone, fix, open, slowly, problem, bit slow, bit, update, little",RQ5,It's just slow to download,Great app but it's too slow,,rq5_bloat,0.452
3,112,3_widget_widgets_size_font,"widget, widgets, size, font, bigger, big, screen, simple, update, small",RQ5,Simple apps with simple widget,"Good app but, big widget!. Can you please make a widget in 4x1 size, So that we will get more room in home screen, just try to make a widget without countdown timer.",,rq5_bloat,0.452
2,56,2_ui_interface_simple_minimalist,"ui, interface, simple, minimalist, minimal, ui simple, easy, simple interface, clean, design",RQ2|RQ5,"Best minimalist Ui, Love it",Love the the simple ui,,rq5_bloat,0.452
