reviewId,app_name,request_type,aspect,evidence_sentence,score,is_true_positive,correct_aspect,notes
96642b11-edf5-4a0e-9d73-2caf08160b01,"Muslims Day-Prayer, Quran, Dua",absence,stability_bugs,There is no ad and bugs.,5,,,
59a19692-4ed3-46e6-9560-690873b8b855,Muslim Pro: Quran Athan Prayer,absence,reminders_adhan,"However im facing troubles on adhan sounds right now, when adhan time notification there is no sound, i fix it from App settings and my mobile settings but still don't have sound..",5,,,
fec8ede5-1d37-4fc0-92e3-f73668117633,Prayer Times - Qibla & Namaz,absence,quran_audio,Now a days I am unable to find the Tafseer of the holy Quran.,4,,,
f2172ae2-0279-4422-ac00-f8ed338bb8ef,صلاتك Salatuk (Prayer time),absence,privacy_data,and even on permission it doesn't have my location access.,2,,,
d2807eee-28eb-4dd8-b7c8-ff408ebfc6c7,Athan: Prayer Times & Al Quran,absence,reminders_adhan,"Nica app but why the alarm works at 12am, there is no prayer at that time.",1,,,
46848a1f-6e41-492e-9226-2a6d63301afd,Prayer Times - Qibla & Salah,absence,ui_design,Very simple and intuitive to use without any intrusive ads or in app purchases.,5,,,
6409775b-493d-42ec-a94d-e2ea19d307db,Athan: Prayer Times & Al Quran,absence,monetization,"1stly This app doesn't have an option to unsubscribe from the premium version, which is frustrating when your bank keeps charging you for every declined transaction.",1,,,
b0a6674f-638f-47f0-8239-c2590e182508,Prayer Times - Qibla & Namaz,absence,,Before there was a option to set hijri date but now there is no option.,3,,,
fcb197fb-d41f-476f-ac17-a68a46613dcb,Muslim Pro: Quran Athan Prayer,absence,reminders_adhan,"Recent update, azan doesn't have sound and no notification",3,,,
d0753a42-7817-4937-bab9-ad88fea32ec1,Athan: Prayer Times & Al Quran,absence,,Also it doesn't have a dark/light option which is a turn off .,1,,,
aa048b2b-189b-458c-9d90-73b13292eac4,Muslim Pro: Quran Athan Prayer,absence,,Minutes adjustment option not available otherwise app is nice & helpful,4,,,
e8181d33-b401-45dc-a127-f9412a804b5c,Prayer Times and Qibla,absence,prayer_times_accuracy,Salam nice app but there is no iqama time and prayer time adjustment and add more Azans please add these features then I will give 5 star,5,,,
dda89be9-71e5-47ea-b003-546ac9afec07,Athan: Prayer Times & Al Quran,absence,mosque_finder,Alhamdulillah i enjoyed using this since there is no masjid near to my home so it assisted me to know time of salah,1,,,
f057cdbb-58a4-488d-ac5c-725125a8ff76,Muslim Pro: Quran Athan Prayer,absence,,There's no such things like that.,2,,,
4347aa34-6636-4f34-b89f-690237d89979,iQIBLA Life,absence,complexity_bloat,"but unfortunately, there is no option for Urdu, the sixth-largest language globally.",1,,,
1bed9b02-0ef6-45b4-aa56-45856257a255,Prayer Times - Qibla & Namaz,absence,qasr_travel,That's not convenient especially when traveling and there is no Athaan/mosque in the area.,3,,,
7d92df87-cd7d-4e90-b858-7c8a6affbb06,Muslim Pro: Quran Athan Prayer,absence,reminders_adhan,Why there is no (الصلاة خير من النوم ) in fajr prayer when i listen to azan?,3,,,
e7969c7f-ba3b-453e-9e19-c2630b686bdd,Athan: Prayer Times & Al Quran,absence,mosque_finder,There is no masjid here in my place.,5,,,
a16e416a-bdd4-42ad-8fb1-d470e845f879,Deen - Islamic App,absence,quran_audio,"You know that, in some places in the Quran, it can't stop, so I want you to clarify that.So that we can stop without a doubt.that's it May Allah reward you with goodness and forgive us our sins.",5,,,
efc0f0a7-5668-43fe-a53e-98db88741a9b,Muslim Pro: Quran Athan Prayer,absence,,I am happy with this page there is no day I don't read the prayers morning and evening.,5,,,
