reviewId,app_name,request_type,aspect,evidence_sentence,score,is_true_positive,correct_aspect,notes
1bf7705e-b813-4aaf-8d6a-969042c13c76,Muslim Pro: Quran Athan Prayer,absence,quran_audio,It's nice and i think you people should try and allow free recitation without any charges.....thank you,5,,,
20c43a5e-9724-4901-88cc-5f67dab24ec1,Muslim Pro: Quran Athan Prayer,absence,ads_intrusive,"Smooth and perfect ,my Muslim brothers and sisters please download this app it's just awesome and has everything you need and it doesn't have errors and lesser ads comparing other apps, just perfect and the compass it smooth",5,,,
27b83c19-56d3-40dd-9352-4ef15765c20d,Athan: Prayer Times & Al Quran,absence,companion_hardware,It says your device does not support the qibla service??..Are there any requirements in particular?,4,,,
b38c75a8-72ef-4b45-b465-a931005f511f,صلاتك Salatuk (Prayer time),absence,stability_bugs,the app is very great with a very good interface but unfortunately there was tons of crashes without any reason and the app isn't stable as before and the widget was working but then it stops counting in a way which is very confusing,2,,,
dea3f78a-ee7b-4288-a62b-af3a6472c75e,iPray: Prayer Times & Qibla,absence,ads_intrusive,Great app without any ads.,4,,,
9376f0be-5ede-4b85-9a9e-c4f221104bde,صلاتك Salatuk (Prayer time),absence,,"Very good app but one thing is missing ""zwwal time ""means half of day when there is no one can offer prayer",5,,,
9471bef9-0329-4ecd-898a-3f13407d987d,Athan: Prayer Times & Al Quran,absence,,"Honestly, I did not find any wrong facts.",5,,,
d0ba3f3f-d8f3-4270-bdb0-223e4199fc63,Muslim Pro: Quran Athan Prayer,absence,quran_audio,Why there's no more audio recitation for Quran verse?,5,,,
479a7add-e367-4029-b84e-dcf35a2b8617,صلاتك Salatuk (Prayer time),absence,,i can not find my city,1,,,
86bc974d-9d70-4c7a-a6da-35849a9a3b79,Athan: Prayer Times & Al Quran,absence,monetization,"How has it suddenly, without any notification, gone back to the pop ups every few seconds and is telling me to upgrade?",2,,,
02312890-f5b9-4afd-9c72-24260a358eef,Pillars: Prayer Times & Qibla,absence,ads_intrusive,Clean and functional without any ads or random videos distracting you from prayers.,5,,,
ecf923bf-0a94-4bd7-9ba4-9bb264a1c747,Muslim Pro: Quran Athan Prayer,absence,ui_design,New prayer widget is good in terms of UI but why there is no hijri date in a widget???,4,,,
89022baf-ce7a-4724-aece-7c69c849c7f5,"Wemu: WeMuslim, Athan&Qibla",absence,,"masha allah great app..لا إله إلا الله محمد رسول الله lā ʾilāha ʾillallāh, Muḥammad rasūlu-llāh There is no God but Allah,",5,,,
3c98dcd2-960e-45ce-acb5-a689c5fa3587,Athan: Prayer Times & Al Quran,absence,ads_intrusive,but I wish that there is no ads,4,,,
11207a39-635d-4ad7-ad1d-e2ac74a35561,Athan: Prayer Times & Al Quran,absence,nafl_times,for ex: there is no witr Salah option.,5,,,
5a819bd8-96a2-4aa0-ab42-7d3566813026,Athan: Prayer Times & Al Quran,absence,ui_design,and that you buy 7 beautiful athan but there is no function to change the athan because there is no athan.,3,,,
