,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Feature Analysis,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer,App Name,Rating,Rating Count,Downloads,package name,Link,Prayer Times by Location,Madhab Variations,Various methods of calculation,Timely Reminders,Forbidden Times,Nafl Prayer Times,Waqt relative reminders,Custom Reminder Sounds,Goal System and Other events (streak),Mosque Finder,Salah and/or Wudu Guides,Salah Specific Adhkars,Qibla Compass,Prayer times in Table format,Auto Qasr mode,Connect to Google Calendar,All Features for free,Prayer Tracker,Tracker Analysis / Score,Women tracking,Widgets,Has Companion Hardware,Life Qaza Calculator,Habit builder and tracker,General Review Summary
Tonmoy,IslamApp: Prayer times & Athan,4.8,76.3K,1M+,islam.islamapp,https://play.google.com/store/apps/details?id=islam.islamapp,✓,✓,✓,✓,x,x,✓,✓,x,x,x,✓,✓,✓,x,x,✓,x,x,x,✓,x,x,x,has donation links for palestine.
Tonmoy,Salaat First: Prayer Times,4.7,761K,10M+,org.hicham.salaat,https://play.google.com/store/apps/details?id=org.hicham.salaat,✓,✓,✓,✓,x,x,✓,✓,x,✓,x,✓,✓,✓,x,x,✓,x,x,x,✓,x,x,x,"Not auto qasr, but fetched location in the background"
Tonmoy,নামাজের সময়সূচি - Prayer Time,4.6,23.3K,1M+,com.creativeapps.salat_times,https://play.google.com/store/apps/details?id=com.creativeapps.salat_times,✓,✓,✓,✓,✓,✓,x,✓,x,x,x,✓,✓,✓,x,x,x,x,x,x,✓,x,x,x,
Tonmoy,Salatuk (Prayer time),4.6,1.86M,50M+,com.masarat.salati,https://play.google.com/store/apps/details?id=com.masarat.salati,✓,✓,✓,✓,x,x,✓,✓,x,x,x,x,✓,✓,x,✓,✓,x,x,x,✓,x,x,✓,"Not auto qasr, but fetched location in the background"
Tonmoy,Prayer Times and Qibla,4.7,27K,1M+,com.reworewo.prayertimes,https://play.google.com/store/apps/details?id=com.reworewo.prayertimes,✓,✓,✓,✓,x,✓,✓,✓,x,✓,x,x,✓,✓,x,x,x,x,x,x,✓,x,x,✓,The free version is does offer every neccessary things.
Fatin,Prayer Times - Qibla & Namaz,4.6,153K,5M+,com.dawateislami.namaz,https://play.google.com/store/apps/details?id=com.dawateislami.namaz,Altitude,✓,x,"Full Screen, Has Performed",✓,✓,x,✓,x,x,x,tajweed,qiblafinder.withgoogle.com,Save Pdf/img,x,x,✓,x,✓,x,✓,x,✓,x,
Fatin,"Muslims Day-নামাজ, কুরআন, দুয়া",4.7,110K,5M+,theoaktroop.appoframadan,https://play.google.com/store/apps/details?id=theoaktroop.appoframadan,✓,✓,✓,✓,Details + Reason,"Tahajjud, Ishraq",✓,✓,x,Google Maps,mistakes / misconceptions,Salah specific,✓,✓,x,x,✓,✓,x,x,✓,x,x,x,
Fatin,Muslim Bangla Quran Hadith Dua,4.9,142K,5M+,com.tos.namajtime,https://play.google.com/store/apps/details?id=com.tos.namajtime,✓,✓,x,Phone Alarm,✓,✓,✓,✓,x,Google Maps,Learn about Salah,Salah specific,With tilt motor,✓,✓,x,✓,x,x,x,✓,x,x,x,
Fatin,iPray: Prayer Times & Qibla,4.4,13.1K,1M+,com.guidedways.ipray,https://play.google.com/store/apps/details?id=com.guidedways.ipray,✓,✓,✓,"Phone Alarm, count down on notif",x,x,✓,✓,x,x,x,x,✓,✓,x,x,✓,x,x,x,✓,x,x,x,
Fatin,Everyday Muslim - Pray tracker,4.6,5.51K,100K+,com.everydaymuslim.app,https://play.google.com/store/apps/details?id=com.everydaymuslim.app,✓,✓,✓,✓,✓,✓,✓,✓,✓,x,✓,x,Map Mode,✓,x,x,✓,"Missed Cnt, Friend compare","Calendar, bar diagram, linear graph",x,x,x,x,✓,
Fatin,Prayer Times - Qibla & Salah,4.8,57.8K,1M+,com.zeedev.islamprayertime,https://play.google.com/store/apps/details?id=com.zeedev.islamprayertime,Clock UI,✓,✓,Toggle week days,✓,Tahajjud,✓,✓,x,x,x,x,✓,x,x,x,✓,x,x,x,✓,x,x,x,
Fatin,Athan: Prayer Times & Al Quran,4.8,329K,10M+,com.athan,https://play.google.com/store/apps/details?id=com.athan,✓,✓,✓,✓,x,x,x,✓,✓,x,x,✓,✓,✓,x,✓,✓,✓,✓,✓,x,x,x,x,
Tonmoy,"Sadiq: Prayer, Quran, Qibla",4.9,6.5K,100K+,com.greentech.sadiq,https://play.google.com/store/apps/details?id=com.greentech.sadiq,✓,✓,✓,✓,✓,x,✓,✓,✓,✓,x,✓,✓,x,x,x,✓,x,x,x,✓,x,x,✓,Supports multiple theme
Fatin,"Pillars: Prayer Times & Qibla
",4.5,4.26K,500K+,com.pillars.pillars,https://play.google.com/store/apps/details?id=com.pillars.pillars,✓,✓,✓,✓,x,x,x,✓,✓,x,x,x,✓,x,x,x,✓,✓,✓,Calculation exclusion,x,x,x,x,
Fatin,Muslim Pro,4.3,1.92M,100M+,,https://play.google.com/store/apps/details?id=com.bitsmedia.android.muslimpro,✓,✓,✓,✓,x,x,✓,✓,✓,Community,x,✓,Map Mode,x,x,x,✓,✓,✓,x,✓,x,x,x,
Fatin,"Prayer Time, Azan Alarm, Qibla",4.8,5.45K,10M+,,https://play.google.com/store/apps/details?id=com.muslimmer.prayer.times.qibla.compass.azan.holy.quran,✓,✓,✓,✓,x,x,✓,✓,x,Google Maps,x,Salah specific,"Map,Camera,Arrow",Can save to gallery,x,x,✓,✓,✓,x,✓,x,x,x,
Fatin,"Muslim: Prayer, Qibla Finder",4.2,27.4K,10M+,,https://play.google.com/store/apps/details?id=com.prayertimes.qiblafinder.muslim.android2023,✓,✓,✓,✓,✓,Tahajjud,✓,✓,x,x,x,x,✓,x,x,x,✓,x,x,x,✓,x,x,x,
Fatin,iQIBLA Life,4.7,34.4K,500K+,,https://play.google.com/store/apps/details?id=com.umeox.qibla,✓,✓,✓,✓,x,x,✓,✓,x,x,x,✓,✓,x,x,x,✓,x,x,x,✓,Zikr Ring,x,x,
Fatin,"Sajda: Quran, Athan, Prayer",4.8,460K,10M+,,https://play.google.com/store/apps/details?id=com.raimbekov.android.sajde,✓,✓,✓,✓,x,✓,✓,✓,x,x,✓,x,Map Mode,Export as pdf,x,x,✓,x,x,x,✓,x,x,x,
Fatin,Deen App,4.9,21.5K,500K+,,https://play.google.com/store/apps/details?id=com.letsflutter.deen,✓,✓,Country List,✓,✓,✓,✓,✓,x,Google Maps,in-app pdf: salah+wudu ,x,✓,✓,x,x,✓,✓,✓,x,✓,x,x,x,
Fatin,Islamic Habit tracker,3.8,7.04K,1M+,,https://play.google.com/store/apps/details?id=com.prayertimesqiblaazan.muslim,✓,x,✓,✓,✓,x,✓,✓,✓,Accurate!! Distance! Community?,✓,x,AR with camera,✓,x,x,ADS,✓,x,✓,x,x,x,✓,
Fatin,Niya,3.9`,212,50K+,,https://play.google.com/store/apps/details?id=com.niyaa,✓,✓,✓,✓,x,x,✓,x,x,x,x,x,✓,x,x,x,✓,No interact notif remind,✓,x,x,x,x,x,
Fatin,Muslim Muna,4.4,5.43K,500K+,,https://play.google.com/store/apps/details?id=com.muslimramadantech.holyquran,✓,✓,✓,✓,x,x,x,x,x,Google Maps,✓,x,Map Mode,x,x,x,✓,✓,✓,x,x,x,x,x,
Fatin,PrayerAlarm,,,100K+,,https://play.google.com/store/apps/details?id=com.ilyn.prayer_alarm,✓,✓,✓,✓,✓,x,✓,x,x,x,x,x,x,x,x,x,✓,x,x,x,x,x,x,x,
Fatin,Pray Watch,4.4,202,10K+,,https://play.google.com/store/apps/details?id=com.iw.android.prayerapp,✓,✓,✓,"Custom Jumuah, Iqamah",x,Tahajjud,✓,✓,x,Google Maps,x,x,✓,✓,x,x,✓,x,x,x,✓,x,x,x,
Fatin,WeMuslim,4.4,738K,100M+,,https://play.google.com/store/apps/details?id=com.fyxtech.muslim,Rec. from Religious Authorities,✓,✓,"Full Screen, Count down on notif",x,x,✓,✓,✓,Google Maps + List,x,✓,Map Mode,x,x,x,✓,"Also for zikr, sura kahf etc",x,x,✓,x,x,x,
Aranna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
