reviewId,app_name,score,lang,install_tier,star_band,content_clean,gold_label,annotator,notes
b558e12a-cf5f-4bab-8c8d-b674a7eef151,Athan: Prayer Times & Al Quran,1,en,10M-100M,1-2,Has a lot of ads,,,
02ae58b6-0c07-45ea-b3f6-0ffa0bcdcd18,Athan: Prayer Times & Al Quran,1,en,10M-100M,1-2,Useless. Athan notifications don't work,,,
8ef19e99-35e7-4348-b8ad-3a303876fa77,Athan: Prayer Times & Al Quran,1,en,10M-100M,1-2,Calls the athan whenever it likes.,,,
cc942e83-faa5-4ba0-91d5-87d0a78f1cbd,Athan: Prayer Times & Al Quran,1,en,10M-100M,1-2,When will yall actually upload all the duas in the dua section??? The night duas used to be there and now they r not. The entire app is just filled with a bunch of haram useless ads.,,,
72257c94-4e75-4ca7-81e3-9e72b0c1b1ac,صلاتك Salatuk (Prayer time),1,en,10M-100M,1-2,best app.It help me for performing Salah at time..,,,
b222afeb-9e45-4b44-b033-b8fc111797b2,Athan: Prayer Times & Al Quran,1,en,10M-100M,1-2,It was set not to ring when my phone is on vibrate yet in class when my phone was on vibrate it rang. Not only was it set not to ring when my phone is on vibrate but it wasn't even set to ring at that time and it did.,,,
84785a19-40db-43e1-a059-86cc2143ac85,Athan: Prayer Times & Al Quran,1,en,10M-100M,1-2,"I am really sick and tired of ads.. this app has everything i want, but these ads annoying me so much that I am now deleting this again, this is being third time i am doing this",,,
65926bad-5a08-4fed-a721-de60ddd3a08a,Athan: Prayer Times & Al Quran,1,en,10M-100M,1-2,poor choice and timing of advertisments.,,,
174b80e7-9405-4cf4-a53e-9728145102b3,Athan: Prayer Times & Al Quran,2,en,10M-100M,1-2,Recently the app has been using a huge amount of RAM (up to 260 MB). This causes other apps like Chrome to freeze.,,,
4e54cc5d-2f53-4c51-9731-20201b908023,Athan: Prayer Times & Al Quran,1,en,10M-100M,1-2,"Assalamu alaikum,, it's always giving timing for makkah only. Evenif you change your also next time when you log in its city is makkah.",,,
a60048fe-e279-498e-afd3-42086da03c28,"Muslim: Prayer, Qibla Finder",1,en,10M-100M,1-2,the first thing that come out when I opened the app is the add. so i just uninstalled it,,,
daac7b3c-0cd9-4f2f-86f0-aa70f54025f0,Athan: Prayer Times & Al Quran,1,en,10M-100M,1-2,"this app is useless if the widget isn't free, also the amount of ads is ridiculous",,,
b81595b6-2ee5-463e-aa88-3d25faf0cd32,Athan: Prayer Times & Al Quran,1,en,10M-100M,1-2,"Saw an ad for DraftKings on this app, stay away from using this app at all. I paid for it years ago and even so I can't use it as a widget without crashing. The app is now much too bloated",,,
a6325784-22b8-48b5-a95b-c41365a69eca,Athan: Prayer Times & Al Quran,1,en,10M-100M,1-2,Alhamdulillah best app for islamic knowledge,,,
472ccf5d-7018-4b86-a50a-3ed267344483,صلاتك Salatuk (Prayer time),1,en,10M-100M,1-2,"The winter time is wrong, I've been praying an hour late because of that. Please fix this!",,,
909e82d5-831c-43aa-bc68-03ea4418133f,"Sajda: Prayer Times, Quran",1,en,10M-100M,1-2,very unaccurate and not good,,,
